index,sub_index,vertex_1_x,vertex_1_y,vertex_1_z,vertex_2_x,vertex_2_y,vertex_2_z,vertex_3_x,vertex_3_y,vertex_3_z
4,1,126.981,-52.3021,143.975,149.912,-3.67178e-14,130.825,165.354,-47.5249,99.9412
4,2,165.354,-47.5249,99.9412,126.981,-52.3021,143.975,136.929,-99.4845,104.604
4,3,88.9816,-104.604,143.975,126.981,-52.3021,143.975,136.929,-99.4845,104.604
4,4,136.929,-99.4845,104.604,88.9816,-104.604,143.975,96.2959,-142.575,99.9412
4,5,46.3253,-142.575,130.825,88.9816,-104.604,143.975,96.2959,-142.575,99.9412
4,6,96.2959,-142.575,99.9412,46.3253,-142.575,130.825,54.9937,-169.253,88.9816
4,7,149.912,-3.67178e-14,130.825,104.604,-2.56206e-14,169.253,126.981,-52.3021,143.975
4,8,71.9877,-52.3021,177.963,104.604,-2.56206e-14,169.253,126.981,-52.3021,143.975
4,9,126.981,-52.3021,143.975,71.9877,-52.3021,177.963,88.9816,-104.604,143.975
4,10,32.3245,-99.4845,169.253,71.9877,-52.3021,177.963,88.9816,-104.604,143.975
4,11,88.9816,-104.604,143.975,32.3245,-99.4845,169.253,46.3253,-142.575,130.825
4,12,104.604,-2.56206e-14,169.253,49.9706,-1.22393e-14,192.592,71.9877,-52.3021,177.963
4,13,15.4418,-47.5249,192.592,49.9706,-1.22393e-14,192.592,71.9877,-52.3021,177.963
4,14,71.9877,-52.3021,177.963,15.4418,-47.5249,192.592,32.3245,-99.4845,169.253
4,15,49.9706,-1.22393e-14,192.592,0.00000,0.00000,198.969,15.4418,-47.5249,192.592
5,12,189.231,-61.4848,8.35293e-15,190.339,-29.3720,49.9706,198.969,0.00000,8.78279e-15
5,13,190.339,29.3720,49.9706,190.339,-29.3720,49.9706,198.969,0.00000,8.78279e-15
5,14,198.969,0.00000,8.78279e-15,190.339,29.3720,49.9706,189.231,61.4848,8.35293e-15
5,15,190.339,-29.3720,49.9706,177.963,0.00000,88.9816,190.339,29.3720,49.9706
6,12,116.951,160.969,8.35293e-15,86.7524,171.947,49.9706,61.4848,189.231,8.78279e-15
6,13,30.8835,190.099,49.9706,86.7524,171.947,49.9706,61.4848,189.231,8.78279e-15
6,14,61.4848,189.231,8.78279e-15,30.8835,190.099,49.9706,1.67059e-14,198.969,8.35293e-15
6,15,86.7524,171.947,49.9706,54.9937,169.253,88.9816,30.8835,190.099,49.9706
7,12,-116.951,160.969,8.35293e-15,-136.723,135.641,49.9706,-160.969,116.951,8.78279e-15
