index,sub_index,vertex_1_x,vertex_1_y,vertex_1_z,vertex_2_x,vertex_2_y,vertex_2_z,vertex_3_x,vertex_3_y,vertex_3_z
4,0,167.366,-4.09929e-14,83.6831,140.985,-3.45314e-14,123.035,155.507,-44.6949,93.9900
4,1,119.420,-49.1877,135.402,140.985,-3.45314e-14,123.035,155.507,-44.6949,93.9900
4,2,155.507,-44.6949,93.9900,119.420,-49.1877,135.402,128.775,-93.5605,98.3753
4,3,83.6831,-98.3753,135.402,119.420,-49.1877,135.402,128.775,-93.5605,98.3753
4,4,128.775,-93.5605,98.3753,83.6831,-98.3753,135.402,90.5618,-134.085,93.9900
4,5,43.5668,-134.085,123.035,83.6831,-98.3753,135.402,90.5618,-134.085,93.9900
4,6,90.5618,-134.085,93.9900,43.5668,-134.085,123.035,51.7190,-159.175,83.6831
4,7,140.985,-3.45314e-14,123.035,98.3753,-2.40950e-14,159.175,119.420,-49.1877,135.402
4,8,67.7010,-49.1877,167.366,98.3753,-2.40950e-14,159.175,119.420,-49.1877,135.402
4,9,119.420,-49.1877,135.402,67.7010,-49.1877,167.366,83.6831,-98.3753,135.402
4,10,30.3996,-93.5605,159.175,67.7010,-49.1877,167.366,83.6831,-98.3753,135.402
4,11,83.6831,-98.3753,135.402,30.3996,-93.5605,159.175,43.5668,-134.085,123.035
4,12,98.3753,-2.40950e-14,159.175,46.9950,-1.15105e-14,181.124,67.7010,-49.1877,167.366
4,13,14.5223,-44.6949,181.124,46.9950,-1.15105e-14,181.124,67.7010,-49.1877,167.366
4,14,67.7010,-49.1877,167.366,14.5223,-44.6949,181.124,30.3996,-93.5605,159.175
4,15,46.9950,-1.15105e-14,181.124,0.00000,0.00000,187.121,14.5223,-44.6949,181.124
5,12,177.963,-57.8236,1.67059e-14,179.005,-27.6230,46.9950,187.121,0.00000,1.75656e-14
5,13,179.005,27.6230,46.9950,179.005,-27.6230,46.9950,187.121,0.00000,1.75656e-14
5,14,187.121,0.00000,1.75656e-14,179.005,27.6230,46.9950,177.963,57.8236,1.67059e-14
5,15,179.005,-27.6230,46.9950,167.366,0.00000,83.6831,179.005,27.6230,46.9950
6,12,109.987,151.384,1.67059e-14,81.5865,161.708,46.9950,57.8236,177.963,1.75656e-14
6,13,29.0445,178.780,46.9950,81.5865,161.708,46.9950,57.8236,177.963,1.75656e-14
6,14,57.8236,177.963,1.75656e-14,29.0445,178.780,46.9950,8.35293e-15,187.121,1.67059e-14
6,15,81.5865,161.708,46.9950,51.7190,159.175,83.6831,29.0445,178.780,46.9950
7,12,-109.987,151.384,1.67059e-14,-128.582,127.564,46.9950,-151.384,109.987,1.75656e-14
7,13,-161.054,82.8689,46.9950,-128.582,127.564,46.9950,-151.384,109.987,1.75656e-14
7,14,-151.384,109.987,1.75656e-14,-161.054,82.8689,46.9950,-177.963,57.8236,1.67059e-14
7,15,-128.582,127.564,46.9950,-135.402,98.3753,83.6831,-161.054,82.8689,46.9950
8,12,-177.963,-57.8236,1.67059e-14,-161.054,-82.8689,46.9950,-151.384,-109.987,1.75656e-14
8,13,-128.582,-127.564,46.9950,-161.054,-82.8689,46.9950,-151.384,-109.987,1.75656e-14
8,14,-151.384,-109.987,1.75656e-14,-128.582,-127.564,46.9950,-109.987,-151.384,1.67059e-14
8,15,-161.054,-82.8689,46.9950,-135.402,-98.3753,83.6831,-128.582,-127.564,46.9950
9,12,-3.34117e-14,-187.121,1.67059e-14,29.0445,-178.780,46.9950,57.8236,-177.963,1.75656e-14
9,13,81.5865,-161.708,46.9950,29.0445,-178.780,46.9950,57.8236,-177.963,1.75656e-14
9,14,57.8236,-177.963,1.75656e-14,81.5865,-161.708,46.9950,109.987,-151.384,1.67059e-14
9,15,29.0445,-178.780,46.9950,51.7190,-159.175,83.6831,81.5865,-161.708,46.9950
10,0,167.366,0.00000,83.6831,179.005,27.6230,46.9950,155.507,44.6949,93.9900
10,1,161.262,79.5873,51.7190,179.005,27.6230,46.9950,155.507,44.6949,93.9900
10,2,155.507,44.6949,93.9900,161.262,79.5873,51.7190,128.775,93.5605,98.3753
10,3,125.525,128.775,51.7190,161.262,79.5873,51.7190,128.775,93.5605,98.3753
10,4,128.775,93.5605,98.3753,125.525,128.775,51.7190,90.5618,134.085,93.9900
10,5,81.5865,161.708,46.9950,125.525,128.775,51.7190,90.5618,134.085,93.9900
10,6,90.5618,134.085,93.9900,81.5865,161.708,46.9950,51.7190,159.175,83.6831
10,7,179.005,27.6230,46.9950,177.963,57.8236,1.67059e-14,161.262,79.5873,51.7190
10,8,151.384,109.987,1.75656e-14,177.963,57.8236,1.67059e-14,161.262,79.5873,51.7190
10,9,161.262,79.5873,51.7190,151.384,109.987,1.75656e-14,125.525,128.775,51.7190
